epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,986.201,1.72274,3.18472,0.00345,0.63698,0.7201,0.71763,0.32756,1.88778,3.42362,0.00529,0.000709809,0.000709809,0.000709809
60,1002.6,1.71163,3.05205,0.0035,0.66837,0.70955,0.74374,0.3497,1.85243,3.24747,0.00512,0.000693305,0.000693305,0.000693305
61,1019.09,1.69834,3.10106,0.00346,0.66289,0.68959,0.73771,0.3465,1.84226,3.24322,0.00511,0.000676802,0.000676802,0.000676802
62,1035.56,1.70234,3.0432,0.00349,0.65043,0.69956,0.72398,0.34246,1.85344,3.3509,0.00513,0.000660299,0.000660299,0.000660299
63,1052.03,1.68717,3.0773,0.00341,0.66936,0.69289,0.73981,0.34879,1.82096,3.31036,0.00501,0.000643795,0.000643795,0.000643795
64,1068.37,1.68033,3.01162,0.0034,0.67046,0.71322,0.73819,0.3557,1.79779,3.25002,0.00496,0.000627292,0.000627292,0.000627292
65,1085.03,1.66946,3.0278,0.00341,0.66055,0.69548,0.7281,0.34721,1.79662,3.3352,0.00496,0.000610789,0.000610789,0.000610789
66,1101.63,1.66908,3.13149,0.00333,0.69188,0.68882,0.74088,0.35308,1.80997,3.3313,0.005,0.000594286,0.000594286,0.000594286
67,1118.11,1.63964,2.97671,0.00332,0.6527,0.72933,0.75072,0.35974,1.78065,3.22798,0.00488,0.000577782,0.000577782,0.000577782
68,1134.98,1.65436,2.97159,0.00326,0.67563,0.69568,0.74068,0.35331,1.80079,3.32121,0.00495,0.000561279,0.000561279,0.000561279
69,1151.46,1.63103,2.9496,0.00327,0.67921,0.71996,0.75547,0.36143,1.79083,3.22448,0.00495,0.000544776,0.000544776,0.000544776
70,1168.35,1.6385,2.93376,0.00327,0.67165,0.72761,0.76075,0.36477,1.79157,3.1745,0.00493,0.000528272,0.000528272,0.000528272
71,1185.01,1.63416,2.99106,0.00329,0.67698,0.69513,0.75581,0.36654,1.77901,3.22882,0.00495,0.000511769,0.000511769,0.000511769
72,1201.58,1.60476,2.90287,0.00323,0.69432,0.70055,0.75695,0.36776,1.76431,3.20208,0.00481,0.000495266,0.000495266,0.000495266
73,1218.44,1.59544,2.8812,0.00319,0.66161,0.72199,0.74435,0.3598,1.77927,3.20515,0.00491,0.000478762,0.000478762,0.000478762
74,1235.21,1.6227,2.9257,0.00327,0.67915,0.71204,0.75189,0.3609,1.78981,3.17678,0.00492,0.000462259,0.000462259,0.000462259
75,1251.93,1.59414,2.91082,0.00322,0.66906,0.723,0.76383,0.37383,1.73956,3.1166,0.00478,0.000445756,0.000445756,0.000445756
76,1269.99,1.59695,2.90287,0.00316,0.67349,0.73206,0.7584,0.37813,1.74374,3.1193,0.00477,0.000429253,0.000429253,0.000429253
77,1286.73,1.58657,2.83476,0.00318,0.67058,0.72459,0.75766,0.37183,1.75173,3.16961,0.00486,0.000412749,0.000412749,0.000412749
78,1303.33,1.58934,2.8485,0.00313,0.66157,0.71971,0.76007,0.38071,1.73251,3.11217,0.00478,0.000396246,0.000396246,0.000396246
79,1320.08,1.58079,2.81671,0.00317,0.68059,0.71066,0.76201,0.37516,1.74972,3.13429,0.00479,0.000379743,0.000379743,0.000379743
80,1336.5,1.55866,2.78954,0.00313,0.68168,0.71529,0.76184,0.38231,1.72192,3.15612,0.00471,0.000363239,0.000363239,0.000363239
81,1353.33,1.5558,2.80315,0.0031,0.66266,0.71762,0.76169,0.38114,1.7219,3.14357,0.00475,0.000346736,0.000346736,0.000346736
82,1369.69,1.55385,2.8114,0.00307,0.679,0.70987,0.7595,0.38095,1.72778,3.14227,0.0047,0.000330233,0.000330233,0.000330233
83,1386.1,1.53302,2.79671,0.00299,0.66993,0.72512,0.76571,0.38521,1.71467,3.12901,0.00467,0.000313729,0.000313729,0.000313729
84,1402.19,1.54718,2.86642,0.00306,0.67924,0.70179,0.76637,0.38668,1.68949,3.13098,0.00458,0.000297226,0.000297226,0.000297226
85,1418.25,1.53262,2.78089,0.00302,0.67808,0.71676,0.76177,0.381,1.70891,3.09904,0.00467,0.000280723,0.000280723,0.000280723
86,1434.21,1.52478,2.78273,0.00302,0.68519,0.71598,0.76752,0.39392,1.68185,3.06672,0.00456,0.00026422,0.00026422,0.00026422
87,1450.25,1.52482,2.76272,0.00303,0.67417,0.7246,0.76606,0.39486,1.67303,3.0655,0.00454,0.000247716,0.000247716,0.000247716
88,1466.41,1.5162,2.69126,0.00299,0.68209,0.72147,0.76777,0.38878,1.69028,3.04742,0.00463,0.000231213,0.000231213,0.000231213
89,1482.26,1.51736,2.74212,0.00299,0.68192,0.71896,0.76787,0.39125,1.68228,3.09864,0.00457,0.00021471,0.00021471,0.00021471
90,1498.07,1.50926,2.74782,0.00299,0.69532,0.70903,0.76675,0.3921,1.68093,3.06814,0.00456,0.000198206,0.000198206,0.000198206
91,1512.46,1.49753,2.69349,0.00311,0.68107,0.72542,0.76601,0.38733,1.69975,3.08448,0.00463,0.000181703,0.000181703,0.000181703
92,1526.93,1.48079,2.65517,0.003,0.68496,0.7075,0.77053,0.3921,1.68211,3.08131,0.00459,0.0001652,0.0001652,0.0001652
93,1541.8,1.45111,2.63248,0.00298,0.67436,0.72351,0.76594,0.39072,1.6833,3.06993,0.00457,0.000148696,0.000148696,0.000148696
94,1556.33,1.4459,2.60941,0.00296,0.67814,0.71347,0.76865,0.39366,1.68763,3.038,0.0046,0.000132193,0.000132193,0.000132193
95,1570.74,1.45203,2.61602,0.00295,0.68573,0.71134,0.76674,0.39424,1.68546,3.0288,0.00458,0.00011569,0.00011569,0.00011569
96,1585.36,1.43576,2.57419,0.00291,0.69269,0.71155,0.76746,0.39572,1.68105,3.04567,0.00457,9.91865e-05,9.91865e-05,9.91865e-05
97,1599.81,1.42624,2.55925,0.00288,0.68225,0.71742,0.76553,0.39662,1.66998,3.05502,0.00453,8.26832e-05,8.26832e-05,8.26832e-05
98,1615.96,1.42811,2.57549,0.00289,0.68446,0.71679,0.76495,0.39813,1.66639,3.03536,0.00453,6.61799e-05,6.61799e-05,6.61799e-05
99,1632.63,1.41766,2.55988,0.00287,0.68224,0.72086,0.76918,0.40024,1.6662,3.03191,0.00453,4.96766e-05,4.96766e-05,4.96766e-05
100,1648.77,1.42978,2.54717,0.00288,0.68837,0.72364,0.76863,0.3993,1.66501,3.02372,0.00453,3.31733e-05,3.31733e-05,3.31733e-05
